prefix,resource,organisation,reference,entity
development-policy,,local-authority-eng:BUC,wdlp-HW20,5600445
development-policy,,local-authority-eng:BUC,wdlp-MR6,5600446
development-policy,,local-authority-eng:BUC,wdlp-MR7,5600447
development-policy,,local-authority-eng:BUC,wdlp-PR3,5600448
development-policy,,local-authority-eng:BUC,wdlp-PR4,5600449
development-policy,,local-authority-eng:BUC,wdlp-PR5,5600450
development-policy,,local-authority-eng:BUC,wdlp-PR6,5600451
development-policy,,local-authority-eng:BUC,wdlp-PR7,5600452
development-policy,,local-authority-eng:BUC,wdlp-PR8,5600453
development-policy,,local-authority-eng:BUC,wdlp-PR9,5600454
development-policy,,local-authority-eng:BUC,wdlp-PR10,5600455
development-policy,,local-authority-eng:BUC,wdlp-PR11,5600456
development-policy,,local-authority-eng:BUC,wdlp-PR12,5600457
development-policy,,local-authority-eng:BUC,wdlp-PR13,5600458
development-policy,,local-authority-eng:BUC,wdlp-PR14,5600459
development-policy,,local-authority-eng:BUC,wdlp-PR15,5600460
development-policy,,local-authority-eng:BUC,wdlp-PR16,5600461
development-policy,,local-authority-eng:BUC,wdlp-PR17,5600462
